598619;PEC 336/2013;Proposta de Emenda à Constituição;PEC;336;2013;2013-10-30 11:39:31.000;136;180;Altera a redação do inciso III do art. 208 da Constituição Federal.  Nova redação : "Atendimento educacional especializado às pessoas com deficiencia, transtornos globais do desenvolvimento e altas habilidades ou superdotação, preferencialmente na rede regular de ensino, em todas as faixas etárias e níveis de ensino, em condições e horários adequados às necessidades do aluno.";NULL;18;Especial;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;a;Paulo Wagner;RN;PV        ;140;1;NULL;;NULL;NULL;NULL;NULL;0;0;;160593
598034;PEC 335/2013;Proposta de Emenda à Constituição;PEC;335;2013;2013-10-23 19:27:28.000;136;180;Altera o artigo 159 da Constituição Federal,  acrescentando o inciso IV e o parágrafo 5º, que trata da repartição das receitas tributárias. ;;18;Especial;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;a;Onofre Santo Agostini;SC;PSD       ;127;1;NULL;;905;Aguardando Despacho do Presidente da Câmara dos Deputados;SECAP(SGM);SECAP(SGM);1;0;;160563
598007;PEC 334/2013;Proposta de Emenda à Constituição;PEC;334;2013;2013-10-23 17:59:00.000;136;180;Dá nova redação ao § 1º, do Art. 14, da Constituição Federal, para tornar facultativos o alistamento eleitoral e o voto.;;18;Especial;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;a;Sandro Alex;PR;PPS       ;118;1;NULL;;905;Aguardando Despacho do Presidente da Câmara dos Deputados;SECAP(SGM);SECAP(SGM);1;0;;160621
597983;PEC 333/2013;Proposta de Emenda à Constituição;PEC;333;2013;2013-10-23 17:06:58.000;136;180;Altera os artigos nº 145, 146, 146 A, 147, 148, 150, 151, 152, 153, 154, 155, 156, 157, 158 e 159, da Constituição da República Federativa do Brasil, instituindo Imposto Único e repartição de Receitas Tributárias no Estado Brasileiro.;;18;Especial;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;a;Mendonça Prado;SE;DEM       ;202;1;NULL;;905;Aguardando Despacho do Presidente da Câmara dos Deputados;SECAP(SGM);SECAP(SGM);1;0;;74056
597859;PEC 332/2013;Proposta de Emenda à Constituição;PEC;332;2013;2013-10-23 11:25:18.000;136;180;Dá nova redação ao art. 228 da Constituição Federal.;Permite que o magistrado possa determinar, por sentença, que o menor infrator, até completar dezoito anos, cumpra medida socioeducativa e, após, continue a responder pelo crime cometido nos termos da legislação penal vigente.;18;Especial;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;a;Carlos Souza;AM;PSD       ;127;1;NULL;;905;Aguardando Despacho do Presidente da Câmara dos Deputados;SECAP(SGM);SECAP(SGM);1;0;;73934
597716;PEC 331/2013;Proposta de Emenda à Constituição;PEC;331;2013;2013-10-22 18:13:34.000;136;180;Acrescenta o inciso VIII ao § 3º do art. 12, o inciso XXVI ao art. 21, o inciso XXX ao art. 22, o inciso XVIII ao art. 49, o inciso XXXVIII ao art. 84 e os arts. 144-A e 144-B, altera o inciso IV do art. 52, todos da Constituição Federal, para dispor sobre as atividades de inteligência no País, e dá outras providências.;;18;Especial;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;a;William Dib;SP;PSDB      ;128;1;NULL;;905;Aguardando Despacho do Presidente da Câmara dos Deputados;SECAP(SGM);SECAP(SGM);1;0;;160586
597507;PEC 330/2013;Proposta de Emenda à Constituição;PEC;330;2013;2013-10-18 14:30:19.000;136;180;Altera o inciso V do art. 203 da Constituição Federal, que dispõe sobre a garantia de benefício mensal à pessoa com deficiência e idosa.;;18;Especial;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;a;Junji Abe;SP;PSD       ;127;1;2013-10-24 11:04:00.000;À Comissão de Constituição e Justiça e de CidadaniaProposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Especial;907;Aguardando Designação de Relator;CCJC      ;CCJC      ;1;0;;160544
597232;PEC 329/2013;Proposta de Emenda à Constituição;PEC;329;2013;2013-10-17 12:29:41.000;136;180;Altera a forma de composição dos Tribunais de Contas; submete os membros do Ministério Público de Contas ao Conselho Nacional do Ministério Público - CNMP e os Conselheiros e Ministros dos Tribunais de Contas ao Conselho Nacional de Justiça - CNJ e dá outras providências.;;18;Especial;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;a;Francisco Praciano;AM;PT        ;134;1;2013-10-24 11:04:00.000;À Comissão de Constituição e Justiça e de CidadaniaProposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Especial;910;Aguardando Encaminhamento;CCP       ;CCP       ;1;0;;141438
597047;PEC 328/2013;Proposta de Emenda à Constituição;PEC;328;2013;2013-10-16 18:16:56.000;136;180;Dá nova redação ao art. 14 da Constituição Federal, para tornar facultativo o voto para todos os eleitores maiores de dezesseis anos e dá outras providências.;;18;Especial;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;a;Nilson Leitão;MT;PSDB      ;128;1;2013-10-24 11:04:00.000;Apense-se à(ao) PEC-159/2012.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Especial;925;Tramitando em Conjunto;CCJC      ;CCJC      ;1;540574;PEC 159/2012;166401
597023;PEC 327/2013;Proposta de Emenda à Constituição;PEC;327;2013;2013-10-16 17:38:01.000;136;180;Altera a redação do § 3º do art. 18 da Constituição Federal.;;18;Especial;5;Proposição Sujeita à Apreciação do Plenário;PLEN      ;PLENÁRIO;a;Lira Maia;PA;DEM       ;202;1;2013-10-24 11:04:00.000;Apense-se à(ao) PEC-297/2013.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Especial;NULL;NULL;NULL;NULL;0;588749;PEC 297/2013;141462
